0,random,50000,1011,-0.7032640949554887,-1.0,3.0,1,14750000,0,0,0,0,4.881731,4.86124,10285.44157457768
60,train,250000,5217,-0.7663408088939992,-1.0,3.0,0.1,15000000,250000,-0.119702,0.0089247491627804168,62492,1098.0638079999999,1093.181797,228.69023312139913
60,test,125000,2720,-0.8584558823529419,-1.0,3.0,0.05,15000000,250000,-0.119702,0,62492,1382.649332,284.5658350000001,439.2656623729969
61,train,250000,5269,-0.7881951034351874,-1.0,3.0,0.1,15250000,500000,-0.261095,0.0053114122174161924,124992,2471.6789710000003,1089.0263670000002,229.5628531829661
61,test,125000,2661,-0.8121007140172859,-1.0,3.0,0.05,15250000,500000,-0.261095,0,124992,2755.5309780000002,283.83471099999997,440.39715776693714
62,train,250000,5253,-0.7717494764896259,-1.0,3.0,0.1,15500000,750000,-0.0844675,0.0036753500560973325,187492,3862.377761,1106.844493,225.86732064085896
62,test,125000,2675,-0.8142056074766362,-1.0,3.0,0.05,15500000,750000,-0.0844675,0,187492,4160.139471,297.74452900000006,419.82299530346694
63,train,250000,5273,-0.7864593210695997,-1.0,3.0,0.1,15750000,1000000,-0.174899,0.0028138672385855101,249992,5270.3379540000005,1110.1957140000004,225.18552075764896
63,test,125000,2692,-0.8272659732540868,-1.0,3.0,0.05,15750000,1000000,-0.174899,0,249992,5567.041836,296.6723780000002,421.34020309770773
64,train,250000,5226,-0.7533486414083402,-1.0,3.0,0.1,16000000,1000000,-0.167236,0.0023514540158294465,312492,6683.912528,1116.865616,223.8407167510115
64,test,125000,2655,-0.8030131826742,-1.0,3.0,0.05,16000000,1000000,-0.167236,0,312492,6969.559667,285.6205630000004,437.6435599981638
65,train,250000,5227,-0.7524392577004035,-1.0,3.0,0.1,16250000,1000000,-0.275786,0.0018303828612301913,374992,8324.08832,1354.5239650000003,184.56668649638837
65,test,125000,2572,-0.7208398133748062,-1.0,3.0,0.05,16250000,1000000,-0.275786,0,374992,8611.101881,286.9865410000002,435.5604955007277
